date,min,max,mean,stDev,sampleCount,noDataCount,median,p10,p90,cloudCoveragePercent
2024-05-15T00:00:00.000Z,-0.6363636255264282,1,0.26455315900768966,0.2902860510679693,5832,4948,0.2955562174320221,-0.13706429302692413,0.575873613357544,25.791855203619896
2024-05-17T00:00:00.000Z,-0.99460369348526,1,0.12870317691793787,0.2594859953345165,5832,2240,0.10113154351711273,-0.15237225592136383,0.46457865834236145,66.8151447661471
2024-05-20T00:00:00.000Z,-0.2745201587677002,0.4094707667827606,0.028821336052437592,0.06029026015485139,5832,4954,0.01516683492809534,-0.017582019791007042,0.09034200757741928,99.65831435079724
2024-05-22T00:00:00.000Z,-0.4675569236278534,0.8915343880653381,0.12009658579289685,0.1313251354504724,5832,2240,0.09533587843179703,-0.002760351402685046,0.2926321029663086,99.86080178173731
2024-05-25T00:00:00.000Z,-0.23871758580207825,0.4835752546787262,0.03225332351606393,0.11048800242553194,5832,4968,0.018918363377451897,-0.08554033190011978,0.15969868004322052,98.26388888888883
2024-05-27T00:00:00.000Z,-0.16674421727657318,0.652837872505188,0.2701563318712895,0.10045452593061364,5832,2240,0.2725168764591217,0.14830751717090607,0.39184674620628357,99.94432071269482
2024-05-30T00:00:00.000Z,-0.8734561204910278,1,0.3437751762246736,0.30192037677358785,5832,4988,0.3877468705177307,-0.08084464818239212,0.6838085651397705,34.12322274881517
2024-06-01T00:00:00.000Z,-1,1,0.21185507229830303,0.26665935533820667,5832,2240,0.20115210115909576,-0.1133842021226883,0.5488132834434509,61.38641425389763
2024-06-04T00:00:00.000Z,-0.8255155086517334,1,0.43895076498014596,0.2964971160457732,5832,5019,0.504955530166626,0.06819120794534683,0.7172717452049255,20.910209102091013
2024-06-06T00:00:00.000Z,-0.47343334555625916,1,0.24379336787263728,0.1701854302310019,5832,2240,0.2630724310874939,0.01895734667778015,0.43578779697418213,99.86080178173724
2024-06-09T00:00:00.000Z,-0.3928771913051605,1,0.24262491252321577,0.22142634662018504,5832,5065,0.2241649627685547,-0.015072421170771122,0.5416577458381653,73.01173402868318
2024-06-11T00:00:00.000Z,-0.7633993029594421,1,0.18691117292480833,0.27711052003871567,5832,2240,0.12477395683526993,-0.09390672296285629,0.5915518999099731,76.28062360801782
2024-06-14T00:00:00.000Z,-0.5618883371353149,1,0.3050530931349662,0.29111906824057526,5832,5024,0.29009929299354553,-0.02684042416512966,0.6776143312454224,71.16336633663373
2024-06-16T00:00:00.000Z,-1,1,0.4010889479952332,0.2992223607913295,5832,2240,0.4630071520805359,-0.017341040074825287,0.7160819172859192,42.70601336302902
2024-06-19T00:00:00.000Z,-0.7165104150772095,1,0.23370941562893252,0.29076589285517285,5832,5043,0.2176341563463211,-0.1093054786324501,0.6306456923484802,69.07477820025362
2024-06-21T00:00:00.000Z,-0.723637044429779,1,0.2351709046202793,0.26788047442375285,5832,2240,0.19644206762313843,-0.06609608978033066,0.6006425619125366,72.77282850779507
2024-06-24T00:00:00.000Z,-0.6285655498504639,1,0.22723909843764523,0.2592381463971291,5832,5009,0.18744884431362152,-0.07111465930938721,0.5867104530334473,76.67071688942892
2024-06-26T00:00:00.000Z,-0.02915392443537712,0.3217940926551819,0.07600041758482763,0.03925024149989741,5832,2240,0.0679241493344307,0.03490283340215683,0.12952005863189697,100
2024-06-29T00:00:00.000Z,-0.28791847825050354,0.8961039185523987,0.28835639476663505,0.14774363897209883,5832,4968,0.31878209114074707,0.07805737853050232,0.4382144808769226,100
2024-07-01T00:00:00.000Z,-0.01991354301571846,0.25756239891052246,0.05631491335528534,0.0335855220466701,5832,2240,0.050937049090862274,0.02171207219362259,0.09630082547664642,100
2024-07-04T00:00:00.000Z,-0.0631895661354065,0.6582887768745422,0.2317387288487021,0.10354002601794615,5832,5015,0.22658610343933105,0.1022641509771347,0.37049180269241333,100
2024-07-06T00:00:00.000Z,-0.28669869899749756,0.4810027480125427,0.047976205411534585,0.06745460496790007,5832,2240,0.03350348025560379,-0.015732720494270325,0.13041391968727112,99.97216035634742
2024-07-09T00:00:00.000Z,-0.19099800288677216,1,0.08893006371412254,0.1354930425799537,5832,4970,0.04565323144197464,-0.011600928381085396,0.2875586748123169,97.5638051044084
2024-07-11T00:00:00.000Z,-0.1912243515253067,0.522945761680603,0.13600421021758907,0.10240451900686082,5832,2240,0.11502295732498169,0.03256935998797417,0.2814255356788635,100
2024-07-14T00:00:00.000Z,-0.16119207441806793,0.3007759153842926,0.055594781782550055,0.05150329068201066,5832,4978,0.05008051544427872,-0.005504334811121225,0.12620395421981812,100
2024-07-16T00:00:00.000Z,-0.5004867315292358,0.7782672643661499,0.029442327467862607,0.05393371353437421,5832,2240,0.025256192311644554,-0.01647152192890644,0.07429160177707672,99.80512249443196
2024-07-19T00:00:00.000Z,-0.15359842777252197,0.18341436982154846,0.03652249714955594,0.028919967546147205,5832,4899,0.03234562277793884,0.01178700476884842,0.06853894889354706,100
2024-07-21T00:00:00.000Z,-0.31682610511779785,0.76788729429245,0.10505647951058283,0.11818892028514648,5832,2240,0.0650973990559578,0.016383161768317223,0.27100977301597595,98.69153674832945
2024-07-24T00:00:00.000Z,-0.14716073870658875,0.33232593536376953,0.04015315663962925,0.04075054904773517,5832,4987,0.02967107482254505,0.008976113982498646,0.08269114047288895,100
2024-07-26T00:00:00.000Z,-0.10529997944831848,0.3034408390522003,0.04320023989129305,0.04127393003626394,5832,2240,0.032866157591342926,0.0031865586061030626,0.09581070393323898,100
